Tempo(s),EMG_Value
0.089911,4000
0.091347,3904
0.091778,3296
0.092753,3616
0.093748,3520
0.094745,3552
0.095746,3888
0.096766,4369
0.097753,3936
0.098747,4433
0.099746,4513
0.100746,4481
0.101745,3504
0.102745,4609
0.103746,3200
0.104743,4273
0.105745,5185
0.106746,4609
0.107747,3856
0.108745,3792
0.109745,4609
0.110746,5361
0.111745,4225
0.112746,4641
0.113747,4417
0.114746,4433
0.115745,4433
0.116744,3872
0.117745,3136
0.118745,4369
0.119745,4785
0.120743,4209
0.121745,4433
0.122745,4257
0.123745,3792
0.124745,5201
0.125744,3616
0.126745,5137
0.127743,4241
0.128747,2992
0.129745,5345
0.130745,4177
0.131746,4625
0.132745,4257
0.133745,3872
0.134743,5473
0.135745,5921
0.136746,4048
0.137745,3168
0.138747,3184
0.139746,3536
0.140746,4625
0.141745,3392
0.142745,3184
0.143744,4641
0.144747,2496
0.145745,4449
0.146744,6417
0.147744,5409
0.148744,4417
0.149745,5697
0.150747,5009
0.151745,4977
0.152746,4032
0.153744,2880
0.154746,3296
0.155746,5201
0.156745,6497
0.157744,4865
0.158747,4032
0.159742,3920
0.160774,4289
0.161753,4048
0.162747,3424
0.163746,3504
0.164746,3136
0.165744,4177
0.166744,3984
0.167746,2992
0.168743,4753
0.169745,3680
0.170745,5025
0.171745,4993
0.172746,6929
0.173745,3616
0.174745,3856
0.175746,4497
0.176746,6161
0.177745,4433
0.178745,3664
0.179745,4545
0.180745,4225
0.181747,4449
0.182747,4032
0.183744,3904
0.184744,3552
0.185745,5761
0.186747,4161
0.187745,4257
0.188742,3472
0.189746,4545
0.190745,4945
0.191743,4145
0.192745,3776
0.193745,4513
0.194744,3840
0.195746,3872
0.196745,5105
0.197746,4673
0.198747,4145
0.199746,4048
0.200744,3872
0.201748,5201
0.202747,5121
0.203746,3280
0.204743,3728
0.205745,5329
0.206745,3824
0.207743,3808
0.208745,4321
0.209745,5505
0.210744,4016
0.211745,3888
0.212747,4945
0.213747,5201
0.214747,3120
0.215745,4657
0.216745,4593
0.217745,5425
0.218746,4929
0.219745,3952
0.220744,3664
0.221743,5249
0.222745,4561
0.223742,3216
0.224764,3120
0.225747,3280
0.226746,4353
0.227745,4929
0.228743,4016
0.229747,4016
0.230744,4833
0.231745,5857
0.232746,3728
0.233746,4577
0.234744,5361
0.235745,4865
0.236747,4080
0.237745,3264
0.238744,3920
0.239745,5793
0.240745,4016
0.241744,3968
0.242745,3920
0.243746,4625
0.244745,5217
0.245745,3168
0.246745,3856
0.247745,3616
0.248745,5713
0.249744,3392
0.250748,3472
0.251744,4193
0.252747,6049
0.253743,5265
0.254744,4465
0.255746,3728
0.256744,3120
0.257745,3488
0.258745,3744
0.259744,4385
0.260743,5153
0.261746,4193
0.262746,4161
0.263744,4881
0.264745,5217
0.265745,4657
0.266746,4433
0.267745,3424
0.268745,4481
0.269747,4080
0.270744,4497
0.271746,4048
0.272747,6609
0.273745,4241
0.274745,3648
0.275745,3088
0.276745,4369
0.277746,5377
0.278746,4465
0.279744,4433
0.280745,4113
0.281745,3936
0.282744,3792
