Tempo(s),EMG_Value
0.004819,672
0.006317,656
0.006697,2896
0.007669,1088
0.008663,1632
0.009659,1280
0.010662,1504
0.011663,1952
0.012661,1552
0.013661,2928
0.014661,1680
0.015661,1360
0.016661,1168
0.017661,1328
0.018663,1568
0.019660,2240
0.020662,2672
0.021663,4529
0.022659,1952
0.023661,3744
0.024660,1216
0.025661,1584
0.026660,1552
0.027663,1200
0.028662,1504
0.029661,1808
0.030661,1152
0.031662,1552
0.032661,1408
0.033662,1424
0.034663,2112
0.035661,2128
0.036662,1712
0.037660,1472
0.038661,1296
0.039679,1200
0.040664,1024
0.041660,1328
0.042661,1488
0.043663,2560
0.044662,1296
0.045661,1376
0.046662,1536
0.047662,2336
0.048663,2000
0.049663,1392
0.050661,1744
0.051662,1680
0.052660,2480
0.053662,1584
0.054660,1456
0.055661,1488
0.056661,1120
0.057661,1264
0.058661,1472
0.059661,1472
0.060661,1552
0.061660,960
0.062661,1280
0.063661,1824
0.064661,1920
0.065659,1152
0.066663,3024
0.067661,2080
0.068661,1792
0.069662,2256
0.070659,1600
0.071662,1328
0.072661,1584
0.073661,2480
0.074661,1792
0.075662,1792
0.076661,1632
0.077660,2064
0.078661,1408
0.079661,1888
0.080661,2960
0.081661,1552
0.082662,1504
0.083660,2784
0.084662,1248
0.085660,1232
0.086661,1488
0.087661,1648
0.088661,1872
0.089661,2800
0.090661,2272
0.091662,2000
0.092661,1488
0.093660,1504
0.094661,2032
0.095661,1104
0.096662,2112
0.097661,1552
0.098661,1616
0.099662,1808
0.100661,1936
0.101661,2432
0.102660,3520
0.103681,2496
0.104667,1200
0.105661,1840
0.106661,1552
0.107662,1424
0.108663,1760
0.109663,1520
0.110660,2096
0.111661,2384
0.112662,1536
0.113660,2720
0.114663,2192
0.115662,2512
0.116661,1568
0.117661,1792
0.118660,1408
0.119660,1952
0.120659,1840
0.121660,2080
0.122662,3584
0.123661,1584
0.124663,1328
0.125662,1456
0.126663,1920
0.127660,2224
0.128659,3024
0.129662,1616
0.130661,2304
0.131663,2464
0.132661,1456
0.133661,1936
0.134661,2000
0.135659,1728
0.136660,5057
0.137660,3552
0.138660,1952
0.139660,2608
0.140661,2320
0.141662,1968
0.142663,1456
0.143662,2096
0.144662,1568
0.145661,2880
0.146661,1792
0.147660,2000
0.148663,1536
0.149659,1840
0.150660,1984
0.151662,1584
0.152662,1888
0.153661,1520
0.154661,2528
0.155662,2336
0.156659,1552
0.157664,1280
0.158662,1184
0.159663,1024
0.160662,1232
0.161662,2096
0.162662,1760
0.163658,2512
0.164661,1200
0.165659,3360
0.166662,1088
0.167682,1664
0.168667,1856
0.169662,1552
0.170659,944
0.171661,1632
0.172660,2448
0.173661,1232
0.174663,2016
0.175659,1552
0.176663,1696
0.177661,2816
0.178661,2256
0.179661,2768
0.180660,1360
0.181661,2912
0.182662,1024
0.183662,1616
0.184661,1488
0.185662,2256
0.186661,2736
0.187663,2080
0.188661,1584
0.189663,1040
0.190662,2176
0.191661,1856
0.192660,1936
0.193662,1616
0.194661,2992
0.195660,1920
