Tempo(s),EMG_Value
0.004497,6321
0.005990,5681
0.006392,5553
0.007331,4609
0.008321,4929
0.009320,5185
0.010317,5345
0.011317,5473
0.012318,4801
0.013317,5761
0.014317,6481
0.015317,5681
0.016318,6033
0.017318,5569
0.018319,5153
0.019318,5169
0.020317,6321
0.021317,5265
0.022316,5201
0.023317,5153
0.024316,5681
0.025320,5377
0.026317,5601
0.027317,5745
0.028318,4977
0.029315,5025
0.030319,5041
0.031317,5313
0.032316,5121
0.033319,4769
0.034317,7409
0.035318,6417
0.036317,7297
0.037315,5217
0.038316,5217
0.039316,6113
0.040315,5265
0.041317,5281
0.042315,5217
0.043316,6081
0.044381,6401
0.045324,4385
0.046320,4561
0.047317,5441
0.048317,6305
0.049317,5585
0.050318,5809
0.051317,5377
0.052317,6609
0.053318,5825
0.054317,5169
0.055316,5921
0.056317,6065
0.057318,5089
0.058317,5153
0.059316,6209
0.060319,5089
0.061318,5457
0.062317,5553
0.063316,6065
0.064319,5889
0.065317,5265
0.066316,5217
0.067318,5137
0.068315,5905
0.069319,5521
0.070315,5761
0.071317,5601
0.072317,5569
0.073317,5857
0.074317,5649
0.075317,4849
0.076317,5281
0.077318,5969
0.078317,5905
0.079317,5137
0.080315,5057
0.081316,5729
0.082315,5793
0.083316,5121
0.084317,6049
0.085318,7009
0.086319,6609
0.087315,5569
0.088316,5121
0.089317,5505
0.090317,5409
0.091317,5777
0.092317,5361
0.093317,5025
0.094317,5521
0.095317,5729
0.096317,5713
0.097316,5937
0.098316,6097
0.099319,4929
0.100317,5841
0.101316,5393
0.102317,6049
0.103316,5969
0.104316,5505
0.105315,5441
0.106319,6449
0.107316,6657
0.108368,5313
0.109324,5249
0.110318,5121
0.111317,5201
0.112317,5009
0.113317,6193
0.114317,5585
0.115317,6305
0.116315,4945
0.117317,5873
0.118317,5281
0.119318,5681
0.120318,5985
0.121317,6833
0.122319,6209
0.123316,5313
0.124317,5041
0.125317,5937
0.126317,5377
0.127319,4593
0.128317,5169
0.129316,5281
0.130317,5457
0.131318,5681
0.132317,5969
0.133319,7009
0.134319,5729
0.135317,5713
0.136317,6273
0.137317,5409
0.138317,5217
0.139317,5889
0.140318,5649
0.141317,4945
0.142318,5073
0.143318,5697
0.144317,5585
0.145317,5601
0.146316,6321
0.147317,7505
0.148317,6673
0.149316,5185
0.150317,5121
0.151317,6433
0.152317,6177
0.153317,5761
0.154317,5777
0.155316,5825
0.156317,5265
0.157317,5473
0.158318,5313
0.159318,5441
0.160316,5809
0.161317,5953
0.162315,5841
0.163319,5041
0.164317,5585
0.165319,5777
0.166317,6081
0.167317,7089
0.168319,5025
0.169318,4993
0.170316,5441
0.171315,6641
0.172366,5825
0.173334,5089
0.174325,4945
0.175320,5153
0.176317,7089
0.177317,6145
0.178319,5153
0.179317,5281
0.180316,7393
0.181318,6529
0.182319,5905
0.183317,5681
0.184317,5265
0.185316,5521
0.186317,5969
0.187317,5889
0.188317,5201
0.189318,5665
0.190317,5937
0.191317,5377
0.192315,5121
0.193318,5057
0.194316,7649
0.195317,6369
0.196317,5249
0.197317,4769
0.198316,6561
0.199319,5121
0.200319,6353
0.201318,7361
0.202317,6177
0.203317,5105
0.324892,5249
0.325540,5297
0.325946,5601
0.326333,4785
0.326709,4913
0.327150,5729
0.327523,5169
0.327893,5649
0.328264,6225
0.328664,6273
0.329037,5937
0.329418,5761
0.329795,6401
0.330318,6305
0.331315,6065
0.332319,5969
0.333317,5409
0.334317,6785
0.335315,6481
0.336316,6081
0.337316,5697
0.338319,5921
0.339319,6081
0.340317,5921
0.341318,5777
0.342316,5793
0.343317,4865
0.344319,5505
0.345315,5681
0.346319,5473
0.347317,6049
0.348319,5921
0.349314,6353
0.350318,6177
0.351319,5665
0.352316,5985
0.353319,5889
0.354318,5297
0.355319,5969
0.356316,5953
0.357318,5777
0.358319,5281
0.359315,5841
0.360319,5537
0.361317,6273
0.362319,6065
0.363317,5537
0.364337,4785
0.365322,5553
0.366317,5905
0.367319,5601
0.368317,5425
0.369317,5793
0.370317,6081
0.371318,6177
