Tempo(s),EMG_Value
0.0000,1216
0.0020,64
0.0040,864
0.0060,992
0.0080,1424
0.0100,1056
0.0120,1584
0.0140,1152
0.0160,944
0.0180,1488
0.0200,1200
0.0220,1296
0.0240,992
0.0260,1088
0.0280,1040
0.0300,1552
0.0320,1136
0.0340,1616
0.0360,1984
0.0380,1136
0.0400,2048
0.0420,1360
0.0440,1152
0.0460,3056
0.0480,1200
0.0500,1568
0.0520,992
0.0540,960
0.0560,1296
0.0580,1008
0.0600,1664
0.0620,1472
0.0640,1696
0.0660,1040
0.0680,976
0.0700,1504
0.0720,1472
0.0740,1200
0.0760,1184
0.0780,1456
0.0800,1424
0.0820,1072
0.0840,1200
0.0860,1056
0.0880,1072
0.0900,1232
0.0920,1104
0.0940,1056
0.0960,1040
0.0980,1104
0.1000,1152
0.1020,1536
0.1040,1456
0.1060,1840
0.1080,1104
0.1100,1424
0.1120,1328
0.1140,1104
0.1160,1472
0.1180,832
0.1200,2048
0.1220,3024
0.1240,1552
0.1260,1472
0.1280,1232
0.1300,1040
0.1320,1472
0.1340,1840
0.1360,1216
0.1380,1152
0.1400,1328
0.1420,1264
0.1440,1056
0.1460,1808
0.1480,1424
0.1500,1200
0.1520,1760
0.1540,4785
0.1560,2048
0.1580,2592
0.1600,2048
0.1620,1360
0.1640,1456
0.1660,1312
0.1680,1088
0.1700,1232
0.1720,2192
0.1740,1088
0.1760,1168
0.1780,1696
0.1800,1296
0.1820,1120
0.1840,1440
0.1860,1360
0.1880,1136
0.1900,1584
0.1920,1136
0.1940,992
0.1960,1264
0.1980,1024
0.2000,1456
0.2020,1648
0.2040,1248
0.2060,1312
0.2080,1216
0.2100,1424
0.2120,1344
0.2140,1568
0.2160,2240
0.2180,1056
0.2200,1120
0.2220,1248
0.2240,1568
0.2260,1920
0.2280,1232
0.2300,1232
0.2320,1200
0.2340,1696
0.2360,1344
0.2380,960
0.2400,1376
0.2420,1264
0.2440,1216
0.2460,1568
0.2480,928
0.2500,1440
0.2520,1440
0.2540,1968
0.2560,1376
0.2580,1040
0.2600,2176
0.2620,848
0.2640,1776
0.2660,1360
0.2680,1104
0.2700,1456
0.2720,1232
0.2740,1152
0.2760,1104
0.2780,1152
0.2800,1456
0.2820,1984
0.2840,1312
0.2860,1552
0.2880,1504
0.2900,4369
0.2920,3328
0.2940,1808
0.2960,1248
0.2980,1360
0.3000,1248
0.3020,1536
0.3040,1744
0.3060,1024
0.3080,1472
0.3100,1328
0.3120,1504
0.3140,1440
0.3160,1200
0.3180,1168
0.3200,1312
0.3220,976
0.3240,1152
0.3260,1808
0.3280,1616
0.3300,1744
0.3320,1472
0.3340,1888
0.3360,1216
0.3380,1696
0.3400,1088
0.3420,1552
0.3440,1536
0.3460,1280
0.3480,992
0.3500,1328
0.3520,1264
0.3540,1472
0.3560,1088
0.3580,1328
0.3600,1504
0.3620,1152
0.3640,1296
0.3660,928
0.3680,1072
0.3700,1040
0.3720,1024
0.3740,1408
0.3760,1248
0.3780,1456
0.3800,1600
0.3820,1456
0.3840,1472
0.3860,2336
0.3880,1200
0.3900,1072
0.3920,1824
0.3940,1216
0.3960,1232
0.3980,1088
0.4000,1152
0.4020,1216
0.4040,1184
0.4060,1632
0.4080,1744
0.4100,1360
0.4120,6081
0.4140,6641
0.4160,1200
0.4180,1120
0.4200,1312
0.4220,1568
0.4240,1200
0.4260,992
0.4280,1328
0.4300,1488
0.4320,1408
0.4340,1424
0.4360,1072
0.4380,1088
0.4400,1472
0.4420,1296
0.4440,1040
0.4460,1312
0.4480,1168
0.4500,1168
0.4520,1168
0.4540,928
0.4560,1168
0.4580,1616
0.4600,1632
0.4620,1616
0.4640,1360
0.4660,1120
0.4680,1584
0.4700,1984
0.4720,1776
0.4740,1296
0.4760,1024
0.4780,1328
0.4800,1408
0.4820,1424
0.4840,1328
0.4860,1088
0.4880,1504
0.4900,1296
0.4920,1184
0.4940,1552
0.4960,1696
0.4980,1424
0.5000,1632
0.5020,1472
0.5040,1920
0.5060,1456
0.5080,1280
0.5100,1344
0.5120,1264
0.5140,1968
0.5160,2240
