Tempo(s),EMG_Value
0.0000,1456
0.0020,192
0.0040,768
0.0060,3200
0.0080,1408
0.0100,1024
0.0120,976
0.0140,704
0.0160,1632
0.0180,1024
0.0200,768
0.0220,1088
0.0240,864
0.0260,896
0.0280,1120
0.0300,912
0.0320,1056
0.0340,1248
0.0360,1024
0.0380,736
0.0400,832
0.0420,912
0.0440,1232
0.0460,816
0.0480,960
0.0500,1248
0.0520,1184
0.0540,1152
0.0560,992
0.0580,784
0.0600,1088
0.0620,1584
0.0640,928
0.0660,1232
0.0680,1056
0.0700,720
0.0720,912
0.0740,768
0.0760,1184
0.0780,1168
0.0800,976
0.0820,896
0.0840,976
0.0860,1024
0.0880,1504
0.0900,1120
0.0920,976
0.0940,912
0.0960,1072
0.0980,944
0.1000,800
0.1020,1184
0.1040,800
0.1060,1040
0.1080,944
0.1100,2080
0.1120,1280
0.1140,944
0.1160,848
0.1180,1152
0.1200,1040
0.1220,1088
0.1240,976
0.1260,1264
0.1280,1056
0.1300,944
0.1320,1072
0.1340,1504
0.1360,736
0.1380,1184
0.1400,800
0.1420,896
0.1440,896
0.1460,1024
0.1480,1520
0.1500,1344
0.1520,1424
0.1540,1584
0.1560,1328
0.1580,1120
0.1600,832
0.1620,1184
0.1640,2320
0.1660,1152
0.1680,1248
0.1700,2864
0.1720,1936
0.1740,672
0.1760,816
0.1780,832
0.1800,1168
0.1820,1408
0.1840,816
0.1860,1088
0.1880,1120
0.1900,1152
0.1920,848
0.1940,720
0.1960,1664
0.1980,1248
0.2000,1280
0.2020,1072
0.2040,1152
0.2060,1680
0.2080,1088
0.2100,1040
0.2120,864
0.2140,832
0.2160,1344
0.2180,608
0.2200,1168
0.2220,1104
0.2240,1040
0.2260,896
0.2280,640
0.2300,736
0.2320,1152
0.2340,816
0.2360,800
0.2380,1184
0.2400,1120
0.2420,704
0.2440,1008
0.2460,1600
0.2480,1120
0.2500,1120
0.2520,1152
0.2540,944
0.2560,1232
0.2580,800
0.2600,1104
0.2620,1568
0.2640,1024
0.2660,1056
0.2680,1072
0.2700,1104
0.2720,1600
0.2740,944
0.2760,736
0.2780,976
0.2800,896
0.2820,1120
0.2840,1408
0.2860,1472
0.2880,1120
0.2900,1040
0.2920,1280
0.2940,1248
0.2960,1360
0.2980,1040
0.3000,1184
0.3020,2016
0.3040,1200
0.3060,848
0.3080,1024
0.3100,912
0.3120,1200
0.3140,1312
0.3160,1408
0.3180,1072
0.3200,960
0.3220,832
0.3240,768
0.3260,1104
0.3280,944
0.3300,656
0.3320,1072
0.3340,1344
0.3360,1776
0.3380,816
0.3400,1008
0.3420,912
0.3440,960
0.3460,1008
0.3480,912
0.3500,1216
0.3520,1024
0.3540,1056
0.3560,1088
0.3580,832
0.3600,992
0.3620,992
0.3640,1312
0.3660,864
0.3680,192
0.3700,1056
0.3720,816
0.3740,896
0.3760,1888
0.3780,1216
0.3800,1696
0.3820,1152
0.3840,816
0.3860,1504
0.3880,736
0.3900,896
0.3920,1104
0.3940,816
0.3960,1152
0.3980,896
0.4000,944
0.4020,864
0.4040,1040
0.4060,688
0.4080,960
0.4100,1616
0.4120,880
0.4140,944
0.4160,1040
0.4180,1424
0.4200,864
0.4220,1248
0.4240,960
0.4260,1056
0.4280,832
0.4300,832
0.4320,1168
0.4340,2336
0.4360,1008
0.4380,1344
0.4400,1216
0.4420,1216
0.4440,1168
0.4460,752
0.4480,1424
0.4500,1376
0.4520,912
0.4540,1472
0.4560,800
0.4580,1280
0.4600,1040
0.4620,944
0.4640,1040
0.4660,2224
0.4680,768
0.4700,1168
0.4720,960
0.4740,768
0.4760,1216
0.4780,832
0.4800,1808
0.4820,1760
0.4840,1232
0.4860,2128
0.4880,928
0.4900,1120
0.4920,784
0.4940,1184
0.4960,1312
0.4980,1168
0.5000,1296
0.5020,1168
0.5040,784
0.5060,1360
0.5080,1104
0.5100,1056
0.5120,1728
0.5140,944
0.5160,1504
0.5180,1152
0.5200,992
0.5220,672
0.5240,1296
0.5260,2208
0.5280,1312
0.5300,976
0.5320,1472
0.5340,912
0.5360,1552
0.5380,1376
0.5400,704
0.5420,1200
0.5440,1232
0.5460,1248
0.5480,1104
0.5500,832
0.5520,832
0.5540,1360
0.5560,736
0.5580,832
0.5600,1040
0.5620,1536
0.5640,720
0.5660,1184
0.5680,672
0.5700,896
0.5720,1504
0.5740,1248
0.5760,960
0.5780,1584
0.5800,1360
0.5820,832
